size;resolution;nanoseconds
1;80x45;3200
5;1280x720;950900
4;640x360;199400
3;320x180;49100
2;160x90;11500
1;80x45;3000
5;1280x720;1070800
4;640x360;174800
3;320x180;41100
2;160x90;10700
1;80x45;3300
5;1280x720;1101700
4;640x360;175000
3;320x180;43100
2;160x90;11100
1;80x45;3100
5;1280x720;1068700
4;640x360;170700
3;320x180;41700
2;160x90;10600
1;80x45;2900
5;1280x720;1119200
4;640x360;179800
3;320x180;43700
2;160x90;10300
1;80x45;3200
5;1280x720;1031100
4;640x360;176900
3;320x180;41100
2;160x90;10800
1;80x45;2800
5;1280x720;1227800
4;640x360;223000
3;320x180;45800
2;160x90;11200
1;80x45;2800
5;1280x720;1204100
4;640x360;179500
3;320x180;42500
2;160x90;10300
1;80x45;2900
5;1280x720;900900
4;640x360;168100
3;320x180;42300
2;160x90;10600
1;80x45;7400
5;1280x720;1078500
4;640x360;177100
3;320x180;41700
2;160x90;10200
1;80x45;3200
5;1280x720;1170900
4;640x360;187400
3;320x180;44600
2;160x90;11000
1;80x45;3100
5;1280x720;1249000
4;640x360;172600
3;320x180;41700
2;160x90;10600
1;80x45;2900
5;1280x720;995500
4;640x360;171200
3;320x180;42500
2;160x90;10500
1;80x45;2700
5;1280x720;991600
4;640x360;170300
3;320x180;42000
2;160x90;10300
1;80x45;2800
5;1280x720;1138700
4;640x360;183600
3;320x180;43900
2;160x90;10500
1;80x45;3100
5;1280x720;1200500
4;640x360;169000
3;320x180;41300
2;160x90;10200
1;80x45;4700
5;1280x720;1055000
4;640x360;176900
3;320x180;42900
2;160x90;10700
1;80x45;3300
5;1280x720;974400
4;640x360;178700
3;320x180;43000
2;160x90;11000
1;80x45;2900
5;1280x720;993100
4;640x360;178800
3;320x180;43500
2;160x90;11100
1;80x45;2700
5;1280x720;1199300
4;640x360;174600
3;320x180;47900
2;160x90;10500
1;80x45;3400
5;1280x720;981500
4;640x360;175600
3;320x180;42100
2;160x90;10800
1;80x45;3500
5;1280x720;1081400
4;640x360;175700
3;320x180;42400
2;160x90;10800
1;80x45;2900
5;1280x720;924500
4;640x360;198000
3;320x180;63900
2;160x90;27300
1;80x45;4000
5;1280x720;1097500
4;640x360;187400
3;320x180;47300
2;160x90;10800
1;80x45;11200
5;1280x720;1110000
4;640x360;188000
3;320x180;42600
2;160x90;10600
1;80x45;2800
5;1280x720;1128000
4;640x360;171100
3;320x180;47700
2;160x90;10800
1;80x45;2900
5;1280x720;1039900
4;640x360;180200
3;320x180;42500
2;160x90;10700
1;80x45;2700
5;1280x720;982800
4;640x360;222000
3;320x180;54800
2;160x90;10900
1;80x45;3500
5;1280x720;938700
4;640x360;212800
3;320x180;42100
2;160x90;10200
1;80x45;2700
5;1280x720;1024400
4;640x360;263800
3;320x180;41900
2;160x90;10100
1;80x45;3100
5;1280x720;1045900
4;640x360;181600
3;320x180;43400
2;160x90;10600
1;80x45;2700
5;1280x720;956600
4;640x360;171500
3;320x180;41300
2;160x90;10300
1;80x45;2800
5;1280x720;943200
4;640x360;170400
3;320x180;42500
2;160x90;11000
1;80x45;3000
5;1280x720;1116100
4;640x360;172700
3;320x180;58000
2;160x90;10400
1;80x45;3000
5;1280x720;1177400
4;640x360;202800
3;320x180;42600
2;160x90;10800
1;80x45;2700
5;1280x720;945500
4;640x360;171600
3;320x180;41300
2;160x90;10400
1;80x45;2900
5;1280x720;1087500
4;640x360;184000
3;320x180;44200
2;160x90;11100
1;80x45;2700
5;1280x720;1001100
4;640x360;184400
3;320x180;41500
2;160x90;10400
1;80x45;2900
5;1280x720;1344800
4;640x360;178300
3;320x180;44900
2;160x90;10300
1;80x45;3100
5;1280x720;1083000
4;640x360;174900
3;320x180;41400
2;160x90;10700
1;80x45;3300
5;1280x720;930000
4;640x360;179000
3;320x180;42300
2;160x90;43500
1;80x45;13800
5;1280x720;1125900
4;640x360;188300
3;320x180;42300
2;160x90;10600
1;80x45;2900
5;1280x720;1111500
4;640x360;175100
3;320x180;43000
2;160x90;10900
1;80x45;3000
5;1280x720;933200
4;640x360;187100
3;320x180;43300
2;160x90;10300
1;80x45;3100
5;1280x720;1047600
4;640x360;173900
3;320x180;49100
2;160x90;12000
1;80x45;3000
5;1280x720;1119600
4;640x360;174900
3;320x180;41900
2;160x90;10600
1;80x45;2900
5;1280x720;997100
4;640x360;179800
3;320x180;43600
2;160x90;11300
1;80x45;2700
5;1280x720;907400
4;640x360;176500
3;320x180;40600
2;160x90;10600
1;80x45;3300
5;1280x720;916200
4;640x360;176600
3;320x180;44800
2;160x90;10400
1;80x45;2800
5;1280x720;928200
4;640x360;175400
3;320x180;42400
2;160x90;15400
1;80x45;3100
5;1280x720;1105600
4;640x360;182200
3;320x180;42400
2;160x90;11700
1;80x45;2700
5;1280x720;1190400
4;640x360;178100
3;320x180;41800
2;160x90;10400
1;80x45;3100
5;1280x720;1276400
4;640x360;252500
3;320x180;55900
2;160x90;11000
1;80x45;2700
5;1280x720;954400
4;640x360;174200
3;320x180;42300
2;160x90;10900
1;80x45;2800
5;1280x720;1031800
4;640x360;176300
3;320x180;43900
2;160x90;10400
1;80x45;3000
5;1280x720;944400
4;640x360;174600
3;320x180;42100
2;160x90;10600
1;80x45;2900
5;1280x720;935600
4;640x360;173300
3;320x180;44700
2;160x90;10700
1;80x45;2800
5;1280x720;1007500
4;640x360;183000
3;320x180;42200
2;160x90;10800
1;80x45;2800
5;1280x720;929400
4;640x360;164900
3;320x180;47900
2;160x90;10800
1;80x45;2700
5;1280x720;1056000
4;640x360;197400
3;320x180;55300
2;160x90;10200
1;80x45;3400
5;1280x720;1072100
4;640x360;182200
3;320x180;46800
2;160x90;10700
1;80x45;2900
5;1280x720;1013100
4;640x360;184400
3;320x180;41500
2;160x90;11000
1;80x45;2800
5;1280x720;1071300
4;640x360;174000
3;320x180;42500
2;160x90;11800
1;80x45;2700
5;1280x720;960500
4;640x360;180500
3;320x180;43100
2;160x90;10600
1;80x45;2900
5;1280x720;872000
4;640x360;176900
3;320x180;42400
2;160x90;10400
1;80x45;2700
5;1280x720;891300
4;640x360;177100
3;320x180;42400
2;160x90;10300
1;80x45;2800
5;1280x720;1215700
4;640x360;172900
3;320x180;43300
2;160x90;10800
1;80x45;2700
5;1280x720;919700
4;640x360;169900
3;320x180;46400
2;160x90;10400
1;80x45;3100
5;1280x720;1104700
4;640x360;174300
3;320x180;41500
2;160x90;11100
1;80x45;2700
5;1280x720;912800
4;640x360;176500
3;320x180;48800
2;160x90;11700
1;80x45;3000
5;1280x720;1067800
4;640x360;176800
3;320x180;42400
2;160x90;10800
1;80x45;2700
5;1280x720;1005100
4;640x360;171100
3;320x180;41900
2;160x90;10500
1;80x45;2800
5;1280x720;893000
4;640x360;200300
3;320x180;49500
2;160x90;10700
1;80x45;2700
5;1280x720;1109200
4;640x360;169100
3;320x180;46800
2;160x90;10200
1;80x45;3200
5;1280x720;952300
4;640x360;172600
3;320x180;43100
2;160x90;10700
1;80x45;3200
5;1280x720;1089400
4;640x360;177600
3;320x180;49400
2;160x90;10800
1;80x45;3500
5;1280x720;967300
4;640x360;167800
3;320x180;42600
2;160x90;10800
1;80x45;2700
5;1280x720;940300
4;640x360;172300
3;320x180;41500
2;160x90;11000
1;80x45;3300
5;1280x720;933600
4;640x360;187700
3;320x180;42000
2;160x90;10700
1;80x45;2600
5;1280x720;933900
4;640x360;178100
3;320x180;42400
2;160x90;10400
1;80x45;3300
5;1280x720;949700
4;640x360;173900
3;320x180;41800
2;160x90;10300
1;80x45;3200
5;1280x720;879300
4;640x360;171000
3;320x180;41700
2;160x90;11100
1;80x45;2800
5;1280x720;1009800
4;640x360;177100
3;320x180;42700
2;160x90;11400
1;80x45;2800
5;1280x720;956600
4;640x360;168700
3;320x180;47600
2;160x90;10500
1;80x45;3300
5;1280x720;946700
4;640x360;167500
3;320x180;41300
2;160x90;11000
1;80x45;2600
5;1280x720;976700
4;640x360;202300
3;320x180;40700
2;160x90;10600
1;80x45;2900
5;1280x720;978200
4;640x360;186200
3;320x180;44200
2;160x90;10700
1;80x45;3200
5;1280x720;1169500
4;640x360;176700
3;320x180;42500
2;160x90;11000
1;80x45;2900
5;1280x720;917600
4;640x360;175800
3;320x180;47300
2;160x90;10700
1;80x45;2900
5;1280x720;904200
4;640x360;215600
3;320x180;42800
2;160x90;11300
1;80x45;2900
5;1280x720;1079800
4;640x360;183100
3;320x180;44200
2;160x90;11500
1;80x45;2800
5;1280x720;891000
4;640x360;171400
3;320x180;43200
2;160x90;10300
1;80x45;3300
5;1280x720;1046800
4;640x360;175700
3;320x180;42500
2;160x90;10800
1;80x45;2700
5;1280x720;965900
4;640x360;261500
3;320x180;42400
2;160x90;10700
1;80x45;2900
5;1280x720;998900
4;640x360;169100
3;320x180;42400
2;160x90;10200
1;80x45;2600
5;1280x720;930400
4;640x360;183500
3;320x180;43700
2;160x90;10400
1;80x45;2900
5;1280x720;1101400
4;640x360;172100
3;320x180;43400
2;160x90;10400
1;80x45;3100
5;1280x720;1534000
4;640x360;181600
3;320x180;43700
2;160x90;10500
1;80x45;2900
5;1280x720;1087800
4;640x360;205900
3;320x180;48900
2;160x90;11300
1;80x45;3500
5;1280x720;1386700
4;640x360;208800
3;320x180;44500
2;160x90;36200
1;80x45;3800
5;1280x720;949400
4;640x360;176000
3;320x180;42000
2;160x90;10600
1;80x45;3100
5;1280x720;935800
4;640x360;169000
3;320x180;46700
2;160x90;10800
1;80x45;2800
5;1280x720;1076900
4;640x360;180800
3;320x180;44100
2;160x90;10800
1;80x45;2700
5;1280x720;1015100
4;640x360;168600
3;320x180;41700
2;160x90;10400
1;80x45;2800
5;1280x720;1088500
4;640x360;179500
3;320x180;42600
2;160x90;11100
1;80x45;2600
5;1280x720;1081300
4;640x360;172300
3;320x180;41600
2;160x90;10300
1;80x45;3000
5;1280x720;1025500
4;640x360;177300
3;320x180;42800
2;160x90;10800
1;80x45;3100
5;1280x720;1010600
4;640x360;181300
3;320x180;42600
2;160x90;10500
1;80x45;2900
5;1280x720;896000
4;640x360;175800
3;320x180;42700
2;160x90;10300
1;80x45;2700
5;1280x720;1009000
4;640x360;174400
3;320x180;42200
2;160x90;10700
1;80x45;2900
5;1280x720;1243500
4;640x360;174500
3;320x180;42000
2;160x90;10600
1;80x45;3000
5;1280x720;1043700
4;640x360;168600
3;320x180;41600
2;160x90;15000
1;80x45;3500
5;1280x720;906300
4;640x360;169000
3;320x180;44500
2;160x90;24700
1;80x45;3200
5;1280x720;1020100
4;640x360;173200
3;320x180;43700
2;160x90;10600
1;80x45;3400
5;1280x720;1139400
4;640x360;176800
3;320x180;41400
2;160x90;10400
1;80x45;2700
5;1280x720;915400
4;640x360;209200
3;320x180;42800
2;160x90;10400
1;80x45;3000
5;1280x720;902200
4;640x360;171500
3;320x180;46700
2;160x90;11300
1;80x45;3000
5;1280x720;1055500
4;640x360;174700
3;320x180;41200
2;160x90;10600
1;80x45;2900
5;1280x720;1020300
4;640x360;187300
3;320x180;42900
2;160x90;10700
1;80x45;3000
5;1280x720;1085400
4;640x360;178300
3;320x180;49000
2;160x90;10900
1;80x45;3200
5;1280x720;1071300
4;640x360;186100
3;320x180;44800
2;160x90;10800
1;80x45;2700
5;1280x720;923600
4;640x360;172200
3;320x180;45800
2;160x90;10700
1;80x45;3300
5;1280x720;972800
4;640x360;175000
3;320x180;41700
2;160x90;11200
1;80x45;2700
5;1280x720;986200
4;640x360;179700
3;320x180;42800
2;160x90;10300
1;80x45;2900
5;1280x720;1352500
4;640x360;174000
3;320x180;42600
2;160x90;10200
1;80x45;2700
5;1280x720;1176500
4;640x360;178700
3;320x180;44500
2;160x90;10700
1;80x45;2900
5;1280x720;1025300
4;640x360;175000
3;320x180;43100
2;160x90;10700
1;80x45;2800
5;1280x720;1065000
4;640x360;169700
3;320x180;42400
2;160x90;10500
1;80x45;2800
5;1280x720;1063000
4;640x360;180200
3;320x180;42900
2;160x90;10900
1;80x45;2800
5;1280x720;1055500
4;640x360;176800
3;320x180;42700
2;160x90;10200
1;80x45;2900
5;1280x720;1014600
4;640x360;173300
3;320x180;51800
2;160x90;15500
1;80x45;2700
5;1280x720;923300
4;640x360;173400
3;320x180;42100
2;160x90;14600
1;80x45;2800
5;1280x720;1152200
4;640x360;213900
3;320x180;43100
2;160x90;10800
1;80x45;2600
5;1280x720;1128300
4;640x360;174500
3;320x180;41100
2;160x90;10100
1;80x45;3300
5;1280x720;1033500
4;640x360;184700
3;320x180;45600
2;160x90;11000
1;80x45;3200
5;1280x720;898900
4;640x360;174000
3;320x180;41600
2;160x90;10600
1;80x45;3200
5;1280x720;1088300
4;640x360;179300
3;320x180;43100
2;160x90;10900
1;80x45;3100
5;1280x720;952300
4;640x360;176700
3;320x180;42100
2;160x90;10300
1;80x45;3300
5;1280x720;1080100
4;640x360;193400
3;320x180;49700
2;160x90;11000
1;80x45;3000
5;1280x720;932400
4;640x360;193900
3;320x180;49500
2;160x90;11500
1;80x45;3000
5;1280x720;977200
4;640x360;180200
3;320x180;43200
2;160x90;10700
1;80x45;2700
5;1280x720;1038400
4;640x360;172100
3;320x180;47700
2;160x90;10900
1;80x45;3400
5;1280x720;890200
4;640x360;216800
3;320x180;47800
2;160x90;11200
1;80x45;3000
5;1280x720;875200
4;640x360;179900
3;320x180;42000
2;160x90;10500
1;80x45;2900
5;1280x720;1040900
4;640x360;175900
3;320x180;48100
2;160x90;14200
1;80x45;3100
5;1280x720;981900
4;640x360;186700
3;320x180;44300
2;160x90;11100
1;80x45;3300
5;1280x720;988400
4;640x360;174100
3;320x180;42700
2;160x90;10800
1;80x45;3100
5;1280x720;1020800
4;640x360;175600
3;320x180;41200
2;160x90;10100
1;80x45;2800
5;1280x720;1043800
4;640x360;179200
3;320x180;42900
2;160x90;10300
1;80x45;3100
5;1280x720;883200
4;640x360;173400
3;320x180;41800
2;160x90;10500
1;80x45;3300
5;1280x720;914500
4;640x360;195100
3;320x180;42200
2;160x90;10600
1;80x45;2700
5;1280x720;912100
4;640x360;175700
3;320x180;52000
2;160x90;10700
1;80x45;3700
5;1280x720;1266100
4;640x360;169000
3;320x180;41800
2;160x90;15300
1;80x45;2900
5;1280x720;852000
4;640x360;173900
3;320x180;42300
2;160x90;10400
1;80x45;2800
5;1280x720;904000
4;640x360;174000
3;320x180;42200
2;160x90;10500
1;80x45;2700
5;1280x720;950700
4;640x360;182700
3;320x180;42400
2;160x90;10700
1;80x45;3000
5;1280x720;1159100
4;640x360;177600
3;320x180;43300
2;160x90;27000
1;80x45;2800
5;1280x720;982400
4;640x360;182100
3;320x180;42400
2;160x90;10400
1;80x45;3300
5;1280x720;1013200
4;640x360;176100
3;320x180;42300
2;160x90;10200
1;80x45;2700
5;1280x720;1163400
4;640x360;169500
3;320x180;41400
2;160x90;10600
1;80x45;3200
5;1280x720;923500
4;640x360;168900
3;320x180;42800
2;160x90;10900
1;80x45;2700
5;1280x720;879400
4;640x360;172200
3;320x180;42300
2;160x90;10500
1;80x45;2800
5;1280x720;1599400
4;640x360;193500
3;320x180;42900
2;160x90;15500
1;80x45;2900
5;1280x720;967700
4;640x360;171500
3;320x180;41600
2;160x90;11000
1;80x45;3300
5;1280x720;950300
4;640x360;188900
3;320x180;43900
2;160x90;11300
1;80x45;3000
5;1280x720;971900
4;640x360;173700
3;320x180;43300
2;160x90;11200
1;80x45;2900
5;1280x720;1275200
4;640x360;180400
3;320x180;43800
2;160x90;10800
1;80x45;2700
5;1280x720;1002200
4;640x360;174700
3;320x180;43200
2;160x90;11100
1;80x45;3200
5;1280x720;886800
4;640x360;168700
3;320x180;42500
2;160x90;10700
1;80x45;2700
5;1280x720;881300
4;640x360;176500
3;320x180;43700
2;160x90;11000
1;80x45;2800
5;1280x720;879900
4;640x360;177300
3;320x180;42600
2;160x90;11300
1;80x45;2700
5;1280x720;1124900
4;640x360;169500
3;320x180;48700
2;160x90;10600
1;80x45;2900
5;1280x720;1047600
4;640x360;172300
3;320x180;42800
2;160x90;10200
1;80x45;2700
5;1280x720;896300
4;640x360;171300
3;320x180;41500
2;160x90;10300
1;80x45;3300
5;1280x720;936500
4;640x360;177700
3;320x180;42300
2;160x90;10400
1;80x45;2700
5;1280x720;1087400
4;640x360;178300
3;320x180;41900
2;160x90;10700
1;80x45;2900
5;1280x720;889800
4;640x360;173600
3;320x180;43900
2;160x90;10600
1;80x45;3000
5;1280x720;933600
4;640x360;189200
3;320x180;42200
2;160x90;10200
1;80x45;2800
5;1280x720;1192800
4;640x360;183600
3;320x180;42700
2;160x90;10200
1;80x45;2700
5;1280x720;973800
4;640x360;173600
3;320x180;41500
2;160x90;10600
1;80x45;2800
5;1280x720;904000
4;640x360;172100
3;320x180;42600
2;160x90;10700
1;80x45;2700
5;1280x720;1045400
4;640x360;184000
3;320x180;43300
2;160x90;10500
1;80x45;3300
5;1280x720;1196600
4;640x360;179800
3;320x180;44000
2;160x90;10600
1;80x45;2700
5;1280x720;1036900
4;640x360;213700
3;320x180;42900
2;160x90;10600
1;80x45;2900
5;1280x720;1118500
4;640x360;233200
3;320x180;43700
2;160x90;10500
1;80x45;2800
5;1280x720;904300
4;640x360;171400
3;320x180;46100
2;160x90;10200
1;80x45;2900
5;1280x720;1110200
4;640x360;192900
3;320x180;56700
2;160x90;11200
1;80x45;2700
5;1280x720;1227900
4;640x360;177200
3;320x180;43700
2;160x90;10600
1;80x45;3100
5;1280x720;938800
4;640x360;174800
3;320x180;44200
2;160x90;10700
1;80x45;2700
5;1280x720;1027200
4;640x360;178400
3;320x180;42400
2;160x90;11200
1;80x45;2900
5;1280x720;1173600
4;640x360;177800
3;320x180;44800
2;160x90;10500
1;80x45;3000
5;1280x720;1049400
4;640x360;173400
3;320x180;49000
2;160x90;10400
1;80x45;2900
5;1280x720;985600
4;640x360;181700
3;320x180;42200
2;160x90;10700
1;80x45;2700
5;1280x720;1038600
4;640x360;211200
3;320x180;43100
2;160x90;10700
1;80x45;3400
5;1280x720;1096000
4;640x360;173700
3;320x180;42100
2;160x90;10800
1;80x45;3000
5;1280x720;985600
4;640x360;169200
3;320x180;42700
2;160x90;10200
1;80x45;2800
5;1280x720;1035800
4;640x360;213400
3;320x180;42500
2;160x90;10400
1;80x45;2700
5;1280x720;985600
4;640x360;252500
3;320x180;50600
2;160x90;10200
1;80x45;2800
5;1280x720;978800
4;640x360;181300
3;320x180;43100
2;160x90;10500
1;80x45;2900
5;1280x720;1258000
4;640x360;239400
3;320x180;44600
2;160x90;10500
1;80x45;2900
5;1280x720;975300
4;640x360;176500
3;320x180;42200
2;160x90;10600
1;80x45;2700
5;1280x720;1070300
4;640x360;203500
3;320x180;56600
2;160x90;14100
1;80x45;3100
5;1280x720;1082500
4;640x360;176400
3;320x180;45300
2;160x90;15800
1;80x45;3100
5;1280x720;959300
4;640x360;177000
3;320x180;41700
2;160x90;10200
1;80x45;2900
5;1280x720;995400
4;640x360;172200
3;320x180;41900
2;160x90;10700
1;80x45;2700
5;1280x720;946300
4;640x360;169200
3;320x180;41200
2;160x90;10700
1;80x45;3200
5;1280x720;965400
4;640x360;170500
3;320x180;48000
2;160x90;10300
1;80x45;2700
5;1280x720;1093100
4;640x360;169600
3;320x180;42500
2;160x90;10600
1;80x45;2800
5;1280x720;964900
4;640x360;172900
3;320x180;43400
2;160x90;10700
1;80x45;3100
5;1280x720;1001100
4;640x360;215200
3;320x180;41600
2;160x90;11000
1;80x45;2800
5;1280x720;1142700
4;640x360;194900
3;320x180;44000
2;160x90;10900
1;80x45;3000
5;1280x720;1001100
4;640x360;180800
3;320x180;43200
2;160x90;10800
1;80x45;2900
5;1280x720;1243400
4;640x360;195000
3;320x180;44300
2;160x90;11000
1;80x45;2600
5;1280x720;1021000
4;640x360;196400
3;320x180;45900
2;160x90;11400
1;80x45;2900
5;1280x720;1097300
4;640x360;171100
3;320x180;46800
2;160x90;10800
1;80x45;2700
5;1280x720;959000
4;640x360;175300
3;320x180;42600
2;160x90;10500
1;80x45;2900
5;1280x720;1101700
4;640x360;168900
3;320x180;41200
2;160x90;10700
1;80x45;2800
5;1280x720;1159600
4;640x360;176500
3;320x180;42700
2;160x90;10900
1;80x45;2900
5;1280x720;962700
4;640x360;169900
3;320x180;47000
2;160x90;10700
1;80x45;3000
5;1280x720;940400
4;640x360;177700
3;320x180;43000
2;160x90;10500
1;80x45;2800
5;1280x720;1054900
4;640x360;169700
3;320x180;48700
2;160x90;11800
1;80x45;3000
5;1280x720;1190900
4;640x360;176100
3;320x180;42100
2;160x90;10300
1;80x45;2800
5;1280x720;910900
4;640x360;175600
3;320x180;42400
2;160x90;10400
1;80x45;3200
5;1280x720;1027100
4;640x360;168400
3;320x180;46600
2;160x90;10900
1;80x45;3200
5;1280x720;960300
4;640x360;173500
3;320x180;43900
2;160x90;10700
1;80x45;2700
5;1280x720;1222800
4;640x360;173100
3;320x180;43700
2;160x90;15100
1;80x45;3100
5;1280x720;966500
4;640x360;170800
3;320x180;42900
2;160x90;10300
1;80x45;3000
5;1280x720;1128200
4;640x360;177700
3;320x180;41900
2;160x90;10400
1;80x45;2900
5;1280x720;1179600
4;640x360;195500
3;320x180;49000
2;160x90;10700
1;80x45;3100
5;1280x720;1046100
4;640x360;181600
3;320x180;57900
2;160x90;19200
1;80x45;2800
5;1280x720;984100
4;640x360;168000
3;320x180;45600
2;160x90;11000
1;80x45;3000
5;1280x720;1115600
4;640x360;177600
