size;resolution;mask_size;nanoseconds
1;80x45;3x3;303900
1;80x45;5x5;309800
1;80x45;7x7;329300
1;80x45;9x9;329600
1;80x45;11x11;348300
1;80x45;13x13;407000
1;80x45;15x15;361500
5;1280x720;3x3;2213900
5;1280x720;5x5;2224800
5;1280x720;7x7;2328000
5;1280x720;9x9;2587500
5;1280x720;11x11;2963900
5;1280x720;13x13;3432300
5;1280x720;15x15;3988300
4;640x360;3x3;652900
4;640x360;5x5;648400
4;640x360;7x7;810100
4;640x360;9x9;824000
4;640x360;11x11;913300
4;640x360;13x13;990300
4;640x360;15x15;1085500
3;320x180;3x3;385000
3;320x180;5x5;383000
3;320x180;7x7;382500
3;320x180;9x9;423600
3;320x180;11x11;423900
3;320x180;13x13;561700
3;320x180;15x15;568600
2;160x90;3x3;400000
2;160x90;5x5;365600
2;160x90;7x7;348400
2;160x90;9x9;341600
2;160x90;11x11;347400
2;160x90;13x13;408400
2;160x90;15x15;377700
1;80x45;3x3;303600
1;80x45;5x5;324200
1;80x45;7x7;313600
1;80x45;9x9;321500
1;80x45;11x11;351600
1;80x45;13x13;341900
1;80x45;15x15;415800
5;1280x720;3x3;2054800
5;1280x720;5x5;2152700
5;1280x720;7x7;3388900
5;1280x720;9x9;3179700
5;1280x720;11x11;3575800
5;1280x720;13x13;3583700
5;1280x720;15x15;4006500
4;640x360;3x3;705500
4;640x360;5x5;672500
4;640x360;7x7;765100
4;640x360;9x9;862500
4;640x360;11x11;909400
4;640x360;13x13;1029100
4;640x360;15x15;1132000
3;320x180;3x3;442800
3;320x180;5x5;395700
3;320x180;7x7;455000
3;320x180;9x9;416100
3;320x180;11x11;461900
3;320x180;13x13;487700
3;320x180;15x15;506500
2;160x90;3x3;315500
2;160x90;5x5;313300
2;160x90;7x7;340600
2;160x90;9x9;329300
2;160x90;11x11;360700
2;160x90;13x13;370800
2;160x90;15x15;390600
1;80x45;3x3;300600
1;80x45;5x5;304200
1;80x45;7x7;349500
1;80x45;9x9;347000
1;80x45;11x11;401800
1;80x45;13x13;338500
1;80x45;15x15;343800
5;1280x720;3x3;2611200
5;1280x720;5x5;2620200
5;1280x720;7x7;3063000
5;1280x720;9x9;2789400
5;1280x720;11x11;3051500
5;1280x720;13x13;3482900
5;1280x720;15x15;4122000
4;640x360;3x3;693700
4;640x360;5x5;799800
4;640x360;7x7;715000
4;640x360;9x9;823200
4;640x360;11x11;901500
4;640x360;13x13;1062300
4;640x360;15x15;1177300
3;320x180;3x3;470500
3;320x180;5x5;427000
3;320x180;7x7;531900
3;320x180;9x9;521400
3;320x180;11x11;543000
3;320x180;13x13;608400
3;320x180;15x15;608800
2;160x90;3x3;414900
2;160x90;5x5;393100
2;160x90;7x7;418500
2;160x90;9x9;361100
2;160x90;11x11;396000
2;160x90;13x13;384600
2;160x90;15x15;451100
1;80x45;3x3;350600
1;80x45;5x5;317000
1;80x45;7x7;333000
1;80x45;9x9;322400
1;80x45;11x11;346300
1;80x45;13x13;336900
1;80x45;15x15;371500
5;1280x720;3x3;2363500
5;1280x720;5x5;2101400
5;1280x720;7x7;2325300
5;1280x720;9x9;2544700
5;1280x720;11x11;3136300
5;1280x720;13x13;5012500
5;1280x720;15x15;3794200
4;640x360;3x3;618300
4;640x360;5x5;631000
4;640x360;7x7;676600
4;640x360;9x9;858200
4;640x360;11x11;902300
4;640x360;13x13;1001800
4;640x360;15x15;1165300
3;320x180;3x3;369800
3;320x180;5x5;390200
3;320x180;7x7;394700
3;320x180;9x9;421200
3;320x180;11x11;470200
3;320x180;13x13;481300
3;320x180;15x15;529600
2;160x90;3x3;461800
2;160x90;5x5;392500
2;160x90;7x7;332300
2;160x90;9x9;384000
2;160x90;11x11;358700
2;160x90;13x13;351100
2;160x90;15x15;379500
1;80x45;3x3;287800
1;80x45;5x5;288600
1;80x45;7x7;293300
1;80x45;9x9;315300
1;80x45;11x11;314300
1;80x45;13x13;320100
1;80x45;15x15;340100
5;1280x720;3x3;2147000
5;1280x720;5x5;2124600
5;1280x720;7x7;2430900
5;1280x720;9x9;2624800
5;1280x720;11x11;3103500
5;1280x720;13x13;3662000
5;1280x720;15x15;4170300
4;640x360;3x3;645800
4;640x360;5x5;613600
4;640x360;7x7;698800
4;640x360;9x9;757000
4;640x360;11x11;863000
4;640x360;13x13;992800
4;640x360;15x15;1070500
3;320x180;3x3;410700
3;320x180;5x5;390300
3;320x180;7x7;407400
3;320x180;9x9;473000
3;320x180;11x11;485200
3;320x180;13x13;574400
3;320x180;15x15;551300
2;160x90;3x3;331400
2;160x90;5x5;387300
2;160x90;7x7;332000
2;160x90;9x9;342200
2;160x90;11x11;371300
2;160x90;13x13;367600
2;160x90;15x15;403300
1;80x45;3x3;308700
1;80x45;5x5;344700
1;80x45;7x7;317700
1;80x45;9x9;343200
1;80x45;11x11;320300
1;80x45;13x13;338000
1;80x45;15x15;361800
5;1280x720;3x3;2012300
5;1280x720;5x5;2321700
5;1280x720;7x7;2575500
5;1280x720;9x9;2659900
5;1280x720;11x11;2843100
5;1280x720;13x13;3837700
5;1280x720;15x15;3943800
4;640x360;3x3;638600
4;640x360;5x5;619400
4;640x360;7x7;746200
4;640x360;9x9;909300
4;640x360;11x11;1038500
4;640x360;13x13;1031700
4;640x360;15x15;1127500
3;320x180;3x3;389300
3;320x180;5x5;395300
3;320x180;7x7;410900
3;320x180;9x9;421900
3;320x180;11x11;444700
3;320x180;13x13;474900
3;320x180;15x15;502500
2;160x90;3x3;311400
2;160x90;5x5;310300
2;160x90;7x7;320300
2;160x90;9x9;331000
2;160x90;11x11;342900
2;160x90;13x13;349700
2;160x90;15x15;392200
1;80x45;3x3;367100
1;80x45;5x5;304000
1;80x45;7x7;310600
1;80x45;9x9;310800
1;80x45;11x11;394100
1;80x45;13x13;381700
1;80x45;15x15;373900
5;1280x720;3x3;2411900
5;1280x720;5x5;2229200
5;1280x720;7x7;2523700
5;1280x720;9x9;3015000
5;1280x720;11x11;3159300
5;1280x720;13x13;3479200
5;1280x720;15x15;3933200
4;640x360;3x3;880000
4;640x360;5x5;960400
4;640x360;7x7;1019000
4;640x360;9x9;1041000
4;640x360;11x11;1154600
4;640x360;13x13;1084500
4;640x360;15x15;1131300
3;320x180;3x3;462100
3;320x180;5x5;485000
3;320x180;7x7;433100
3;320x180;9x9;423500
3;320x180;11x11;464300
3;320x180;13x13;478600
3;320x180;15x15;519100
2;160x90;3x3;363600
2;160x90;5x5;469300
2;160x90;7x7;466800
2;160x90;9x9;417400
2;160x90;11x11;357200
2;160x90;13x13;357600
2;160x90;15x15;397500
1;80x45;3x3;300100
1;80x45;5x5;307000
1;80x45;7x7;302800
1;80x45;9x9;312000
1;80x45;11x11;324000
1;80x45;13x13;370800
1;80x45;15x15;344000
5;1280x720;3x3;2465400
5;1280x720;5x5;2189400
5;1280x720;7x7;2430500
5;1280x720;9x9;2701800
5;1280x720;11x11;2901800
5;1280x720;13x13;3340100
5;1280x720;15x15;3881800
4;640x360;3x3;617700
4;640x360;5x5;635800
4;640x360;7x7;738500
4;640x360;9x9;856300
4;640x360;11x11;918600
4;640x360;13x13;1035800
4;640x360;15x15;1091000
3;320x180;3x3;417300
3;320x180;5x5;404100
3;320x180;7x7;398900
3;320x180;9x9;434800
3;320x180;11x11;456100
3;320x180;13x13;490100
3;320x180;15x15;576100
2;160x90;3x3;394800
2;160x90;5x5;408300
2;160x90;7x7;352000
2;160x90;9x9;340400
2;160x90;11x11;343700
2;160x90;13x13;358400
2;160x90;15x15;458900
1;80x45;3x3;343600
1;80x45;5x5;359300
1;80x45;7x7;331300
1;80x45;9x9;325700
1;80x45;11x11;318600
1;80x45;13x13;338900
1;80x45;15x15;346000
5;1280x720;3x3;2438700
5;1280x720;5x5;2356700
5;1280x720;7x7;2728500
5;1280x720;9x9;2737300
5;1280x720;11x11;3073900
5;1280x720;13x13;3550300
5;1280x720;15x15;3978900
4;640x360;3x3;709400
4;640x360;5x5;744600
4;640x360;7x7;790300
4;640x360;9x9;934400
4;640x360;11x11;986300
4;640x360;13x13;974500
4;640x360;15x15;1154700
3;320x180;3x3;400500
3;320x180;5x5;460300
3;320x180;7x7;434800
3;320x180;9x9;451300
3;320x180;11x11;463700
3;320x180;13x13;495100
3;320x180;15x15;535900
2;160x90;3x3;344600
2;160x90;5x5;329700
2;160x90;7x7;367200
2;160x90;9x9;351000
2;160x90;11x11;378500
2;160x90;13x13;377200
2;160x90;15x15;409100
1;80x45;3x3;311700
1;80x45;5x5;324300
1;80x45;7x7;311400
1;80x45;9x9;342400
1;80x45;11x11;325900
1;80x45;13x13;368700
1;80x45;15x15;356300
5;1280x720;3x3;2343600
5;1280x720;5x5;2212900
5;1280x720;7x7;2890700
5;1280x720;9x9;2859700
5;1280x720;11x11;2965200
5;1280x720;13x13;3334500
5;1280x720;15x15;3940600
4;640x360;3x3;760300
4;640x360;5x5;682800
4;640x360;7x7;692800
4;640x360;9x9;753900
4;640x360;11x11;837500
4;640x360;13x13;938700
4;640x360;15x15;1136700
3;320x180;3x3;378200
3;320x180;5x5;381400
3;320x180;7x7;400400
3;320x180;9x9;439100
3;320x180;11x11;451600
3;320x180;13x13;482900
3;320x180;15x15;511500
2;160x90;3x3;323000
2;160x90;5x5;324300
2;160x90;7x7;332300
2;160x90;9x9;346300
2;160x90;11x11;363500
2;160x90;13x13;378400
2;160x90;15x15;383000
1;80x45;3x3;307800
1;80x45;5x5;362000
1;80x45;7x7;326700
1;80x45;9x9;319900
1;80x45;11x11;346700
1;80x45;13x13;339800
1;80x45;15x15;355000
5;1280x720;3x3;2049400
5;1280x720;5x5;2158600
5;1280x720;7x7;2278100
5;1280x720;9x9;2792400
5;1280x720;11x11;3109100
5;1280x720;13x13;3574700
5;1280x720;15x15;4152200
4;640x360;3x3;773800
4;640x360;5x5;819900
4;640x360;7x7;734800
4;640x360;9x9;802800
4;640x360;11x11;847200
4;640x360;13x13;946700
4;640x360;15x15;1081100
3;320x180;3x3;394500
3;320x180;5x5;429600
3;320x180;7x7;398800
3;320x180;9x9;464700
3;320x180;11x11;436800
3;320x180;13x13;463200
3;320x180;15x15;486900
2;160x90;3x3;315100
2;160x90;5x5;318500
2;160x90;7x7;323500
2;160x90;9x9;331500
2;160x90;11x11;345500
2;160x90;13x13;359100
2;160x90;15x15;380100
1;80x45;3x3;307400
1;80x45;5x5;302300
1;80x45;7x7;310600
1;80x45;9x9;327700
1;80x45;11x11;331100
1;80x45;13x13;335600
1;80x45;15x15;346300
5;1280x720;3x3;2480400
5;1280x720;5x5;2367300
5;1280x720;7x7;2712000
5;1280x720;9x9;2572300
5;1280x720;11x11;3345400
5;1280x720;13x13;3744800
5;1280x720;15x15;4281200
4;640x360;3x3;652400
4;640x360;5x5;688100
4;640x360;7x7;791000
4;640x360;9x9;908100
4;640x360;11x11;853300
4;640x360;13x13;970500
4;640x360;15x15;1083200
3;320x180;3x3;379500
3;320x180;5x5;379700
3;320x180;7x7;395400
3;320x180;9x9;481700
3;320x180;11x11;443100
3;320x180;13x13;485200
3;320x180;15x15;572500
2;160x90;3x3;506100
2;160x90;5x5;330100
2;160x90;7x7;351700
2;160x90;9x9;332800
2;160x90;11x11;349200
2;160x90;13x13;358800
2;160x90;15x15;384100
1;80x45;3x3;333300
1;80x45;5x5;323600
1;80x45;7x7;313900
1;80x45;9x9;319300
1;80x45;11x11;362900
1;80x45;13x13;336800
1;80x45;15x15;344000
5;1280x720;3x3;2412300
5;1280x720;5x5;2494000
5;1280x720;7x7;2336600
5;1280x720;9x9;2586400
5;1280x720;11x11;2896300
5;1280x720;13x13;3424900
5;1280x720;15x15;3805400
4;640x360;3x3;616500
4;640x360;5x5;656800
4;640x360;7x7;694300
4;640x360;9x9;754400
4;640x360;11x11;880600
4;640x360;13x13;941400
4;640x360;15x15;1066700
3;320x180;3x3;377900
3;320x180;5x5;546100
3;320x180;7x7;567500
3;320x180;9x9;562300
3;320x180;11x11;517300
3;320x180;13x13;481300
3;320x180;15x15;523300
2;160x90;3x3;324100
2;160x90;5x5;323300
2;160x90;7x7;354100
2;160x90;9x9;340400
2;160x90;11x11;341900
2;160x90;13x13;354000
2;160x90;15x15;376900
1;80x45;3x3;298100
1;80x45;5x5;311200
1;80x45;7x7;296200
1;80x45;9x9;306200
1;80x45;11x11;396500
1;80x45;13x13;322600
1;80x45;15x15;337800
5;1280x720;3x3;2153400
5;1280x720;5x5;2482700
5;1280x720;7x7;2543600
5;1280x720;9x9;2987700
5;1280x720;11x11;3392000
5;1280x720;13x13;3727900
5;1280x720;15x15;4236800
4;640x360;3x3;809800
4;640x360;5x5;671400
4;640x360;7x7;797500
4;640x360;9x9;849800
4;640x360;11x11;928200
4;640x360;13x13;1011000
4;640x360;15x15;1123000
3;320x180;3x3;462500
3;320x180;5x5;485100
3;320x180;7x7;510100
3;320x180;9x9;531000
3;320x180;11x11;737900
3;320x180;13x13;806300
3;320x180;15x15;677000
2;160x90;3x3;405300
2;160x90;5x5;347800
2;160x90;7x7;400300
2;160x90;9x9;345100
2;160x90;11x11;354500
2;160x90;13x13;357600
2;160x90;15x15;379400
1;80x45;3x3;342300
1;80x45;5x5;413300
1;80x45;7x7;389400
1;80x45;9x9;324400
1;80x45;11x11;322900
1;80x45;13x13;329600
1;80x45;15x15;338700
5;1280x720;3x3;2200300
5;1280x720;5x5;2575100
5;1280x720;7x7;2521200
5;1280x720;9x9;2560900
5;1280x720;11x11;2922000
5;1280x720;13x13;3423000
5;1280x720;15x15;4041900
4;640x360;3x3;753000
4;640x360;5x5;720400
4;640x360;7x7;703400
4;640x360;9x9;835800
4;640x360;11x11;876000
4;640x360;13x13;944800
4;640x360;15x15;1100000
3;320x180;3x3;374300
3;320x180;5x5;442100
3;320x180;7x7;394000
3;320x180;9x9;416300
3;320x180;11x11;454700
3;320x180;13x13;491700
3;320x180;15x15;490200
2;160x90;3x3;338400
2;160x90;5x5;331900
2;160x90;7x7;365800
2;160x90;9x9;330300
2;160x90;11x11;345000
2;160x90;13x13;358600
2;160x90;15x15;401500
1;80x45;3x3;299500
1;80x45;5x5;298200
1;80x45;7x7;309100
1;80x45;9x9;358300
1;80x45;11x11;323400
1;80x45;13x13;335500
1;80x45;15x15;412000
5;1280x720;3x3;2540500
5;1280x720;5x5;2362700
5;1280x720;7x7;2532000
5;1280x720;9x9;2861100
5;1280x720;11x11;2961500
5;1280x720;13x13;3401700
5;1280x720;15x15;3882900
4;640x360;3x3;624100
4;640x360;5x5;720800
4;640x360;7x7;715200
4;640x360;9x9;774600
4;640x360;11x11;867400
4;640x360;13x13;960200
4;640x360;15x15;1089000
3;320x180;3x3;392400
3;320x180;5x5;384500
3;320x180;7x7;420100
3;320x180;9x9;440300
3;320x180;11x11;456400
3;320x180;13x13;499000
3;320x180;15x15;517100
2;160x90;3x3;341100
2;160x90;5x5;336800
2;160x90;7x7;324200
2;160x90;9x9;332000
2;160x90;11x11;345000
2;160x90;13x13;372200
2;160x90;15x15;438800
1;80x45;3x3;301000
1;80x45;5x5;301400
1;80x45;7x7;330900
1;80x45;9x9;311200
1;80x45;11x11;323000
1;80x45;13x13;372700
1;80x45;15x15;421600
5;1280x720;3x3;3221900
5;1280x720;5x5;2417400
5;1280x720;7x7;2378800
5;1280x720;9x9;2511700
5;1280x720;11x11;3046800
5;1280x720;13x13;3476300
5;1280x720;15x15;3936000
4;640x360;3x3;610200
4;640x360;5x5;630400
4;640x360;7x7;753300
4;640x360;9x9;824700
4;640x360;11x11;921300
4;640x360;13x13;1019400
4;640x360;15x15;1152800
3;320x180;3x3;437800
3;320x180;5x5;381300
3;320x180;7x7;394600
3;320x180;9x9;428500
3;320x180;11x11;449100
3;320x180;13x13;478400
3;320x180;15x15;531100
2;160x90;3x3;361300
2;160x90;5x5;311700
2;160x90;7x7;319000
2;160x90;9x9;353600
2;160x90;11x11;433100
2;160x90;13x13;530100
2;160x90;15x15;537100
1;80x45;3x3;466700
1;80x45;5x5;1209500
1;80x45;7x7;420500
1;80x45;9x9;457400
1;80x45;11x11;550400
1;80x45;13x13;654400
1;80x45;15x15;1198300
5;1280x720;3x3;2021700
5;1280x720;5x5;2069900
5;1280x720;7x7;2245500
5;1280x720;9x9;2524700
5;1280x720;11x11;2878300
5;1280x720;13x13;3611000
5;1280x720;15x15;4029000
4;640x360;3x3;599600
4;640x360;5x5;635400
4;640x360;7x7;720200
4;640x360;9x9;803000
4;640x360;11x11;962800
4;640x360;13x13;1096500
4;640x360;15x15;1170200
3;320x180;3x3;380000
3;320x180;5x5;371200
3;320x180;7x7;412200
3;320x180;9x9;437900
3;320x180;11x11;489900
3;320x180;13x13;469600
3;320x180;15x15;515900
2;160x90;3x3;313100
2;160x90;5x5;312000
2;160x90;7x7;348600
2;160x90;9x9;327800
2;160x90;11x11;363500
2;160x90;13x13;379100
2;160x90;15x15;365700
1;80x45;3x3;320700
1;80x45;5x5;376000
1;80x45;7x7;320000
1;80x45;9x9;385200
1;80x45;11x11;818800
1;80x45;13x13;526100
1;80x45;15x15;513000
5;1280x720;3x3;2683200
5;1280x720;5x5;2385000
5;1280x720;7x7;2538600
5;1280x720;9x9;2574200
5;1280x720;11x11;3012500
5;1280x720;13x13;3526200
5;1280x720;15x15;4059700
4;640x360;3x3;742400
4;640x360;5x5;737300
4;640x360;7x7;706900
4;640x360;9x9;761900
4;640x360;11x11;855800
4;640x360;13x13;948100
4;640x360;15x15;1066500
3;320x180;3x3;379500
3;320x180;5x5;383200
3;320x180;7x7;399300
3;320x180;9x9;436900
3;320x180;11x11;471900
3;320x180;13x13;519800
3;320x180;15x15;532100
2;160x90;3x3;318100
2;160x90;5x5;411500
2;160x90;7x7;392000
2;160x90;9x9;356500
2;160x90;11x11;360200
2;160x90;13x13;398200
2;160x90;15x15;387800
1;80x45;3x3;307500
1;80x45;5x5;412700
1;80x45;7x7;336100
1;80x45;9x9;327100
1;80x45;11x11;337300
1;80x45;13x13;342100
1;80x45;15x15;353000
5;1280x720;3x3;2615400
5;1280x720;5x5;2196100
5;1280x720;7x7;2507800
5;1280x720;9x9;3142500
5;1280x720;11x11;3297800
5;1280x720;13x13;3331400
5;1280x720;15x15;4117000
4;640x360;3x3;735900
4;640x360;5x5;700700
4;640x360;7x7;715000
4;640x360;9x9;782700
4;640x360;11x11;833500
4;640x360;13x13;940700
4;640x360;15x15;1127700
3;320x180;3x3;385300
3;320x180;5x5;386500
3;320x180;7x7;430900
3;320x180;9x9;432900
3;320x180;11x11;472100
3;320x180;13x13;484500
3;320x180;15x15;537100
2;160x90;3x3;317700
2;160x90;5x5;317900
2;160x90;7x7;452400
2;160x90;9x9;335600
2;160x90;11x11;348200
2;160x90;13x13;363400
2;160x90;15x15;379700
1;80x45;3x3;302000
1;80x45;5x5;303500
1;80x45;7x7;308800
1;80x45;9x9;337800
1;80x45;11x11;334000
1;80x45;13x13;326500
1;80x45;15x15;346700
5;1280x720;3x3;2070300
5;1280x720;5x5;2075400
5;1280x720;7x7;2355900
5;1280x720;9x9;2575800
5;1280x720;11x11;3114500
5;1280x720;13x13;3388000
5;1280x720;15x15;4226300
4;640x360;3x3;841500
4;640x360;5x5;683900
4;640x360;7x7;745400
4;640x360;9x9;827400
4;640x360;11x11;905600
4;640x360;13x13;1011100
4;640x360;15x15;1133500
3;320x180;3x3;503500
3;320x180;5x5;537200
3;320x180;7x7;565400
3;320x180;9x9;436600
3;320x180;11x11;455800
3;320x180;13x13;475100
3;320x180;15x15;503500
2;160x90;3x3;316100
2;160x90;5x5;315400
2;160x90;7x7;320700
2;160x90;9x9;329400
2;160x90;11x11;344800
2;160x90;13x13;355900
2;160x90;15x15;378000
1;80x45;3x3;290200
1;80x45;5x5;298400
1;80x45;7x7;304400
1;80x45;9x9;317900
1;80x45;11x11;372900
1;80x45;13x13;332600
1;80x45;15x15;344300
5;1280x720;3x3;2248500
5;1280x720;5x5;2489000
5;1280x720;7x7;2496600
5;1280x720;9x9;2812000
5;1280x720;11x11;3230700
5;1280x720;13x13;3373800
5;1280x720;15x15;3787600
4;640x360;3x3;654500
4;640x360;5x5;706000
4;640x360;7x7;836400
4;640x360;9x9;786700
4;640x360;11x11;850900
4;640x360;13x13;976400
4;640x360;15x15;1087800
3;320x180;3x3;461400
3;320x180;5x5;410000
3;320x180;7x7;393500
3;320x180;9x9;435000
3;320x180;11x11;450900
3;320x180;13x13;476700
3;320x180;15x15;516400
2;160x90;3x3;336700
2;160x90;5x5;323000
2;160x90;7x7;345800
2;160x90;9x9;334000
2;160x90;11x11;367800
2;160x90;13x13;352100
2;160x90;15x15;511300
1;80x45;3x3;340000
1;80x45;5x5;304100
1;80x45;7x7;343800
1;80x45;9x9;321100
1;80x45;11x11;344900
1;80x45;13x13;337400
1;80x45;15x15;379700
5;1280x720;3x3;2249900
5;1280x720;5x5;2265900
5;1280x720;7x7;2396100
5;1280x720;9x9;2722600
5;1280x720;11x11;2893900
5;1280x720;13x13;3436700
5;1280x720;15x15;4005300
4;640x360;3x3;637500
4;640x360;5x5;642300
4;640x360;7x7;737800
4;640x360;9x9;808600
4;640x360;11x11;930500
4;640x360;13x13;1093300
4;640x360;15x15;1246200
3;320x180;3x3;498000
3;320x180;5x5;390900
3;320x180;7x7;419600
3;320x180;9x9;435100
3;320x180;11x11;457400
3;320x180;13x13;489300
3;320x180;15x15;513000
2;160x90;3x3;335900
2;160x90;5x5;394000
2;160x90;7x7;327100
